Fecha;Territorio;Medida;Valor;
13/04/2020;Granada;Confirmados;1864;
13/04/2020;Granada;Hospitalizados;973;
13/04/2020;Granada;Total UCI;110;
13/04/2020;Granada;Fallecimientos;180;
13/04/2020;Granada;Curados;375;
13/04/2020;Granada;Nuevos casos;32;
13/04/2020;Huelva;Confirmados;337;
13/04/2020;Huelva;Hospitalizados;177;
13/04/2020;Huelva;Total UCI;27;
13/04/2020;Huelva;Fallecimientos;27;
13/04/2020;Huelva;Curados;61;
13/04/2020;Huelva;Nuevos casos;6;
13/04/2020;Jaen;Confirmados;1177;
13/04/2020;Jaen;Hospitalizados;590;
13/04/2020;Jaen;Total UCI;59;
13/04/2020;Jaen;Fallecimientos;111;
13/04/2020;Jaen;Curados;209;
13/04/2020;Jaen;Nuevos casos;8;
13/04/2020;Malaga;Confirmados;2240;
13/04/2020;Malaga;Hospitalizados;1253;
13/04/2020;Malaga;Total UCI;145;
13/04/2020;Malaga;Fallecimientos;184;
13/04/2020;Malaga;Curados;597;
13/04/2020;Malaga;Nuevos casos;23;
13/04/2020;Sevilla;Confirmados;2083;
13/04/2020;Sevilla;Hospitalizados;971;
13/04/2020;Sevilla;Total UCI;129;
13/04/2020;Sevilla;Fallecimientos;178;
13/04/2020;Sevilla;Curados;294;
13/04/2020;Sevilla;Nuevos casos;17;
12/04/2020;Spain;Confirmados;169496;
12/04/2020;Spain;Hospitalizados;75229;
12/04/2020;Spain;Total UCI;7777;
12/04/2020;Spain;Fallecimientos;17489;
12/04/2020;Spain;Curados;64727;
12/04/2020;Spain;Nuevos casos;3477;
12/04/2020;Andalucia;Confirmados;10187;
12/04/2020;Andalucia;Hospitalizados;4993;
12/04/2020;Andalucia;Total UCI;621;
12/04/2020;Andalucia;Fallecimientos;815;
12/04/2020;Andalucia;Curados;1967;
12/04/2020;Andalucia;Nuevos casos;181;
12/04/2020;Almeria;Confirmados;413;
12/04/2020;Almeria;Hospitalizados;176;
12/04/2020;Almeria;Total UCI;34;
12/04/2020;Almeria;Fallecimientos;35;
12/04/2020;Almeria;Curados;86;
12/04/2020;Almeria;Nuevos casos;4;
12/04/2020;Cadiz;Confirmados;990;
12/04/2020;Cadiz;Hospitalizados;439;
12/04/2020;Cadiz;Total UCI;70;
12/04/2020;Cadiz;Fallecimientos;60;
12/04/2020;Cadiz;Curados;200;
12/04/2020;Cadiz;Nuevos casos;19;
12/04/2020;Cordoba;Confirmados;1169;
12/04/2020;Cordoba;Hospitalizados;456;
12/04/2020;Cordoba;Total UCI;56;
12/04/2020;Cordoba;Fallecimientos;56;
12/04/2020;Cordoba;Curados;197;
12/04/2020;Cordoba;Nuevos casos;16;
12/04/2020;Granada;Confirmados;1832;
12/04/2020;Granada;Hospitalizados;957;
12/04/2020;Granada;Total UCI;104;
12/04/2020;Granada;Fallecimientos;170;
12/04/2020;Granada;Curados;360;
12/04/2020;Granada;Nuevos casos;60;
12/04/2020;Huelva;Confirmados;331;
12/04/2020;Huelva;Hospitalizados;171;
12/04/2020;Huelva;Total UCI;27;
12/04/2020;Huelva;Fallecimientos;27;
12/04/2020;Huelva;Curados;61;
12/04/2020;Huelva;Nuevos casos;3;
12/04/2020;Jaen;Confirmados;1169;
12/04/2020;Jaen;Hospitalizados;590;
12/04/2020;Jaen;Total UCI;59;
12/04/2020;Jaen;Fallecimientos;107;
12/04/2020;Jaen;Curados;205;
12/04/2020;Jaen;Nuevos casos;33;
12/04/2020;Malaga;Confirmados;2217;
12/04/2020;Malaga;Hospitalizados;1240;
12/04/2020;Malaga;Total UCI;143;
12/04/2020;Malaga;Fallecimientos;183;
12/04/2020;Malaga;Curados;583;
12/04/2020;Malaga;Nuevos casos;14;
12/04/2020;Sevilla;Confirmados;2066;
12/04/2020;Sevilla;Hospitalizados;964;
12/04/2020;Sevilla;Total UCI;128;
12/04/2020;Sevilla;Fallecimientos;177;
12/04/2020;Sevilla;Curados;275;
12/04/2020;Sevilla;Nuevos casos;32;
11/04/2020;Spain;Confirmados;166019;
11/04/2020;Spain;Hospitalizados;73465;
11/04/2020;Spain;Total UCI;7554;
11/04/2020;Spain;Fallecimientos;16972;
11/04/2020;Spain;Curados;62391;
11/04/2020;Spain;Nuevos casos;4167;
11/04/2020;Andalucia;Confirmados;10006;
11/04/2020;Andalucia;Hospitalizados;4950;
11/04/2020;Andalucia;Total UCI;619;
11/04/2020;Andalucia;Fallecimientos;799;
11/04/2020;Andalucia;Curados;1838;
11/04/2020;Andalucia;Nuevos casos;294;
11/04/2020;Almeria;Confirmados;409;
11/04/2020;Almeria;Hospitalizados;176;
11/04/2020;Almeria;Total UCI;35;
11/04/2020;Almeria;Fallecimientos;36;
11/04/2020;Almeria;Curados;85;
11/04/2020;Almeria;Nuevos casos;6;
11/04/2020;Cadiz;Confirmados;971;
11/04/2020;Cadiz;Hospitalizados;436;
11/04/2020;Cadiz;Total UCI;70;
11/04/2020;Cadiz;Fallecimientos;59;
11/04/2020;Cadiz;Curados;194;
11/04/2020;Cadiz;Nuevos casos;28;
11/04/2020;Cordoba;Confirmados;1153;
11/04/2020;Cordoba;Hospitalizados;453;
11/04/2020;Cordoba;Total UCI;56;
11/04/2020;Cordoba;Fallecimientos;56;
11/04/2020;Cordoba;Curados;176;
11/04/2020;Cordoba;Nuevos casos;17;
11/04/2020;Granada;Confirmados;1772;
11/04/2020;Granada;Hospitalizados;943;
11/04/2020;Granada;Total UCI;103;
11/04/2020;Granada;Fallecimientos;165;
11/04/2020;Granada;Curados;317;
11/04/2020;Granada;Nuevos casos;47;
11/04/2020;Huelva;Confirmados;328;
11/04/2020;Huelva;Hospitalizados;169;
11/04/2020;Huelva;Total UCI;27;
11/04/2020;Huelva;Fallecimientos;26;
11/04/2020;Huelva;Curados;61;
11/04/2020;Huelva;Nuevos casos;10;
11/04/2020;Jaen;Confirmados;1136;
11/04/2020;Jaen;Hospitalizados;579;
11/04/2020;Jaen;Total UCI;59;
11/04/2020;Jaen;Fallecimientos;105;
11/04/2020;Jaen;Curados;200;
11/04/2020;Jaen;Nuevos casos;39;
11/04/2020;Malaga;Confirmados;2203;
11/04/2020;Malaga;Hospitalizados;1239;
11/04/2020;Malaga;Total UCI;142;
11/04/2020;Malaga;Fallecimientos;183;
11/04/2020;Malaga;Curados;558;
11/04/2020;Malaga;Nuevos casos;60;
11/04/2020;Sevilla;Confirmados;2034;
11/04/2020;Sevilla;Hospitalizados;955;
11/04/2020;Sevilla;Total UCI;127;
11/04/2020;Sevilla;Fallecimientos;169;
11/04/2020;Sevilla;Curados;247;
11/04/2020;Sevilla;Nuevos casos;87;
10/04/2020;Spain;Confirmados;161852;
10/04/2020;Spain;Hospitalizados;68050;
10/04/2020;Spain;Total UCI;7535;
10/04/2020;Spain;Fallecimientos;16353;
10/04/2020;Spain;Curados;59109;
10/04/2020;Spain;Nuevos casos;4830;
10/04/2020;Andalucia;Confirmados;9712;
10/04/2020;Andalucia;Hospitalizados;4808;
10/04/2020;Andalucia;Total UCI;602;
10/04/2020;Andalucia;Fallecimientos;737;
10/04/2020;Andalucia;Curados;1630;
10/04/2020;Andalucia;Nuevos casos;202;
10/04/2020;Almeria;Confirmados;403;
10/04/2020;Almeria;Hospitalizados;171;
10/04/2020;Almeria;Total UCI;33;
10/04/2020;Almeria;Fallecimientos;32;
10/04/2020;Almeria;Curados;83;
10/04/2020;Almeria;Nuevos casos;3;
10/04/2020;Cadiz;Confirmados;943;
10/04/2020;Cadiz;Hospitalizados;421;
10/04/2020;Cadiz;Total UCI;65;
10/04/2020;Cadiz;Fallecimientos;52;
10/04/2020;Cadiz;Curados;157;
10/04/2020;Cadiz;Nuevos casos;14;
10/04/2020;Cordoba;Confirmados;1136;
10/04/2020;Cordoba;Hospitalizados;449;
10/04/2020;Cordoba;Total UCI;55;
10/04/2020;Cordoba;Fallecimientos;49;
10/04/2020;Cordoba;Curados;161;
10/04/2020;Cordoba;Nuevos casos;20;
10/04/2020;Granada;Confirmados;1725;
10/04/2020;Granada;Hospitalizados;915;
10/04/2020;Granada;Total UCI;102;
10/04/2020;Granada;Fallecimientos;157;
10/04/2020;Granada;Curados;272;
10/04/2020;Granada;Nuevos casos;39;
10/04/2020;Huelva;Confirmados;318;
10/04/2020;Huelva;Hospitalizados;170;
10/04/2020;Huelva;Total UCI;27;
10/04/2020;Huelva;Fallecimientos;22;
10/04/2020;Huelva;Curados;57;
10/04/2020;Huelva;Nuevos casos;8;
10/04/2020;Jaen;Confirmados;1097;
10/04/2020;Jaen;Hospitalizados;561;
10/04/2020;Jaen;Total UCI;57;
10/04/2020;Jaen;Fallecimientos;96;
10/04/2020;Jaen;Curados;156;
10/04/2020;Jaen;Nuevos casos;42;
10/04/2020;Malaga;Confirmados;2143;
10/04/2020;Malaga;Hospitalizados;1199;
10/04/2020;Malaga;Total UCI;137;
10/04/2020;Malaga;Fallecimientos;170;
10/04/2020;Malaga;Curados;523;
10/04/2020;Malaga;Nuevos casos;16;
10/04/2020;Sevilla;Confirmados;1947;
10/04/2020;Sevilla;Hospitalizados;922;
10/04/2020;Sevilla;Total UCI;126;
10/04/2020;Sevilla;Fallecimientos;159;
10/04/2020;Sevilla;Curados;221;
10/04/2020;Sevilla;Nuevos casos;60;
09/04/2020;Spain;Confirmados;157022;
09/04/2020;Spain;Hospitalizados;67572;
09/04/2020;Spain;Total UCI;7482;
09/04/2020;Spain;Fallecimientos;15843;
09/04/2020;Spain;Curados;55668;
09/04/2020;Spain;Nuevos casos;4576;
09/04/2020;Andalucia;Confirmados;9510;
09/04/2020;Andalucia;Hospitalizados;4715;
09/04/2020;Andalucia;Total UCI;582;
09/04/2020;Andalucia;Fallecimientos;691;
09/04/2020;Andalucia;Curados;1437;
09/04/2020;Andalucia;Nuevos casos;249;
09/04/2020;Almeria;Confirmados;400;
09/04/2020;Almeria;Hospitalizados;169;
09/04/2020;Almeria;Total UCI;33;
09/04/2020;Almeria;Fallecimientos;29;
09/04/2020;Almeria;Curados;73;
09/04/2020;Almeria;Nuevos casos;5;
09/04/2020;Cadiz;Confirmados;929;
09/04/2020;Cadiz;Hospitalizados;413;
09/04/2020;Cadiz;Total UCI;64;
09/04/2020;Cadiz;Fallecimientos;49;
09/04/2020;Cadiz;Curados;144;
09/04/2020;Cadiz;Nuevos casos;14;
09/04/2020;Cordoba;Confirmados;1116;
09/04/2020;Cordoba;Hospitalizados;439;
09/04/2020;Cordoba;Total UCI;54;
09/04/2020;Cordoba;Fallecimientos;48;
09/04/2020;Cordoba;Curados;159;
09/04/2020;Cordoba;Nuevos casos;32;
09/04/2020;Granada;Confirmados;1686;
09/04/2020;Granada;Hospitalizados;890;
09/04/2020;Granada;Total UCI;102;
09/04/2020;Granada;Fallecimientos;148;
09/04/2020;Granada;Curados;251;
09/04/2020;Granada;Nuevos casos;47;
09/04/2020;Huelva;Confirmados;310;
09/04/2020;Huelva;Hospitalizados;165;
09/04/2020;Huelva;Total UCI;26;
09/04/2020;Huelva;Fallecimientos;21;
09/04/2020;Huelva;Curados;48;
09/04/2020;Huelva;Nuevos casos;2;
09/04/2020;Jaen;Confirmados;1055;
09/04/2020;Jaen;Hospitalizados;557;
09/04/2020;Jaen;Total UCI;56;
09/04/2020;Jaen;Fallecimientos;92;
09/04/2020;Jaen;Curados;111;
09/04/2020;Jaen;Nuevos casos;34;
09/04/2020;Malaga;Confirmados;2127;
09/04/2020;Malaga;Hospitalizados;1182;
09/04/2020;Malaga;Total UCI;123;
09/04/2020;Malaga;Fallecimientos;154;
09/04/2020;Malaga;Curados;451;
09/04/2020;Malaga;Nuevos casos;53;
09/04/2020;Sevilla;Confirmados;1887;
09/04/2020;Sevilla;Hospitalizados;900;
09/04/2020;Sevilla;Total UCI;124;
09/04/2020;Sevilla;Fallecimientos;150;
09/04/2020;Sevilla;Curados;200;
09/04/2020;Sevilla;Nuevos casos;62;
08/04/2020;Spain;Confirmados;152446;
08/04/2020;Spain;Hospitalizados;66579;
08/04/2020;Spain;Total UCI;7371;
08/04/2020;Spain;Fallecimientos;15238;
08/04/2020;Spain;Curados;52165;
08/04/2020;Spain;Nuevos casos;5756;
08/04/2020;Andalucia;Confirmados;9261;
08/04/2020;Andalucia;Hospitalizados;4599;
08/04/2020;Andalucia;Total UCI;538;
08/04/2020;Andalucia;Fallecimientos;652;
08/04/2020;Andalucia;Curados;1193;
08/04/2020;Andalucia;Nuevos casos;264;
08/04/2020;Almeria;Confirmados;395;
08/04/2020;Almeria;Hospitalizados;168;
08/04/2020;Almeria;Total UCI;32;
08/04/2020;Almeria;Fallecimientos;27;
08/04/2020;Almeria;Curados;63;
08/04/2020;Almeria;Nuevos casos;17;
08/04/2020;Cadiz;Confirmados;915;
08/04/2020;Cadiz;Hospitalizados;403;
08/04/2020;Cadiz;Total UCI;58;
08/04/2020;Cadiz;Fallecimientos;45;
08/04/2020;Cadiz;Curados;128;
08/04/2020;Cadiz;Nuevos casos;14;
08/04/2020;Cordoba;Confirmados;1084;
08/04/2020;Cordoba;Hospitalizados;424;
08/04/2020;Cordoba;Total UCI;52;
08/04/2020;Cordoba;Fallecimientos;45;
08/04/2020;Cordoba;Curados;131;
08/04/2020;Cordoba;Nuevos casos;15;
08/04/2020;Granada;Confirmados;1639;
08/04/2020;Granada;Hospitalizados;865;
08/04/2020;Granada;Total UCI;95;
08/04/2020;Granada;Fallecimientos;142;
08/04/2020;Granada;Curados;205;
08/04/2020;Granada;Nuevos casos;39;
08/04/2020;Huelva;Confirmados;308;
08/04/2020;Huelva;Hospitalizados;159;
08/04/2020;Huelva;Total UCI;25;
08/04/2020;Huelva;Fallecimientos;21;
08/04/2020;Huelva;Curados;40;
08/04/2020;Huelva;Nuevos casos;12;
08/04/2020;Jaen;Confirmados;1021;
08/04/2020;Jaen;Hospitalizados;548;
08/04/2020;Jaen;Total UCI;51;
08/04/2020;Jaen;Fallecimientos;84;
08/04/2020;Jaen;Curados;80;
08/04/2020;Jaen;Nuevos casos;31;
08/04/2020;Malaga;Confirmados;2074;
08/04/2020;Malaga;Hospitalizados;1158;
08/04/2020;Malaga;Total UCI;111;
08/04/2020;Malaga;Fallecimientos;147;
08/04/2020;Malaga;Curados;355;
08/04/2020;Malaga;Nuevos casos;68;
08/04/2020;Sevilla;Confirmados;1825;
08/04/2020;Sevilla;Hospitalizados;874;
08/04/2020;Sevilla;Total UCI;114;
08/04/2020;Sevilla;Fallecimientos;141;
08/04/2020;Sevilla;Curados;191;
08/04/2020;Sevilla;Nuevos casos;68;
07/04/2020;Spain;Confirmados;146690;
07/04/2020;Spain;Hospitalizados;65515;
07/04/2020;Spain;Total UCI;7257;
07/04/2020;Spain;Fallecimientos;14555;
07/04/2020;Spain;Curados;48021;
07/04/2020;Spain;Nuevos casos;6180;
07/04/2020;Andalucia;Confirmados;8997;
07/04/2020;Andalucia;Hospitalizados;4463;
07/04/2020;Andalucia;Total UCI;520;
07/04/2020;Andalucia;Fallecimientos;605;
07/04/2020;Andalucia;Curados;1041;
07/04/2020;Andalucia;Nuevos casos;230;
07/04/2020;Almeria;Confirmados;378;
07/04/2020;Almeria;Hospitalizados;161;
07/04/2020;Almeria;Total UCI;32;
07/04/2020;Almeria;Fallecimientos;26;
07/04/2020;Almeria;Curados;54;
07/04/2020;Almeria;Nuevos casos;7;
07/04/2020;Cadiz;Confirmados;901;
07/04/2020;Cadiz;Hospitalizados;385;
07/04/2020;Cadiz;Total UCI;55;
07/04/2020;Cadiz;Fallecimientos;36;
07/04/2020;Cadiz;Curados;118;
07/04/2020;Cadiz;Nuevos casos;20;
07/04/2020;Cordoba;Confirmados;1069;
07/04/2020;Cordoba;Hospitalizados;419;
07/04/2020;Cordoba;Total UCI;50;
07/04/2020;Cordoba;Fallecimientos;42;
07/04/2020;Cordoba;Curados;101;
07/04/2020;Cordoba;Nuevos casos;14;
07/04/2020;Granada;Confirmados;1600;
07/04/2020;Granada;Hospitalizados;844;
07/04/2020;Granada;Total UCI;93;
07/04/2020;Granada;Fallecimientos;138;
07/04/2020;Granada;Curados;177;
07/04/2020;Granada;Nuevos casos;50;
07/04/2020;Huelva;Confirmados;296;
07/04/2020;Huelva;Hospitalizados;154;
07/04/2020;Huelva;Total UCI;25;
07/04/2020;Huelva;Fallecimientos;20;
07/04/2020;Huelva;Curados;41;
07/04/2020;Huelva;Nuevos casos;4;
07/04/2020;Jaen;Confirmados;990;
07/04/2020;Jaen;Hospitalizados;534;
07/04/2020;Jaen;Total UCI;49;
07/04/2020;Jaen;Fallecimientos;72;
07/04/2020;Jaen;Curados;74;
07/04/2020;Jaen;Nuevos casos;17;
07/04/2020;Malaga;Confirmados;2006;
07/04/2020;Malaga;Hospitalizados;1130;
07/04/2020;Malaga;Total UCI;107;
07/04/2020;Malaga;Fallecimientos;140;
07/04/2020;Malaga;Curados;318;
07/04/2020;Malaga;Nuevos casos;74;
07/04/2020;Sevilla;Confirmados;1757;
07/04/2020;Sevilla;Hospitalizados;836;
07/04/2020;Sevilla;Total UCI;109;
07/04/2020;Sevilla;Fallecimientos;131;
07/04/2020;Sevilla;Curados;158;
07/04/2020;Sevilla;Nuevos casos;44;
06/04/2020;Spain;Confirmados;140510;
06/04/2020;Spain;Hospitalizados;64904;
06/04/2020;Spain;Total UCI;7177;
06/04/2020;Spain;Fallecimientos;13798;
06/04/2020;Spain;Curados;43208;
06/04/2020;Spain;Nuevos casos;5478;
06/04/2020;Andalucia;Confirmados;8767;
06/04/2020;Andalucia;Hospitalizados;4335;
06/04/2020;Andalucia;Total UCI;499;
06/04/2020;Andalucia;Fallecimientos;528;
06/04/2020;Andalucia;Curados;900;
06/04/2020;Andalucia;Nuevos casos;186;
06/04/2020;Almeria;Confirmados;371;
06/04/2020;Almeria;Hospitalizados;154;
06/04/2020;Almeria;Total UCI;32;
06/04/2020;Almeria;Fallecimientos;23;
06/04/2020;Almeria;Curados;50;
06/04/2020;Almeria;Nuevos casos;0;
06/04/2020;Cadiz;Confirmados;881;
06/04/2020;Cadiz;Hospitalizados;370;
06/04/2020;Cadiz;Total UCI;56;
06/04/2020;Cadiz;Fallecimientos;32;
06/04/2020;Cadiz;Curados;109;
06/04/2020;Cadiz;Nuevos casos;19;
06/04/2020;Cordoba;Confirmados;1055;
06/04/2020;Cordoba;Hospitalizados;408;
06/04/2020;Cordoba;Total UCI;50;
06/04/2020;Cordoba;Fallecimientos;39;
06/04/2020;Cordoba;Curados;84;
06/04/2020;Cordoba;Nuevos casos;9;
06/04/2020;Granada;Confirmados;1550;
06/04/2020;Granada;Hospitalizados;830;
06/04/2020;Granada;Total UCI;88;
06/04/2020;Granada;Fallecimientos;128;
06/04/2020;Granada;Curados;182;
06/04/2020;Granada;Nuevos casos;49;
06/04/2020;Huelva;Confirmados;292;
06/04/2020;Huelva;Hospitalizados;147;
06/04/2020;Huelva;Total UCI;25;
06/04/2020;Huelva;Fallecimientos;16;
06/04/2020;Huelva;Curados;19;
06/04/2020;Huelva;Nuevos casos;4;
06/04/2020;Jaen;Confirmados;973;
06/04/2020;Jaen;Hospitalizados;520;
06/04/2020;Jaen;Total UCI;47;
06/04/2020;Jaen;Fallecimientos;53;
06/04/2020;Jaen;Curados;62;
06/04/2020;Jaen;Nuevos casos;39;
06/04/2020;Malaga;Confirmados;1932;
06/04/2020;Malaga;Hospitalizados;1095;
06/04/2020;Malaga;Total UCI;97;
06/04/2020;Malaga;Fallecimientos;125;
06/04/2020;Malaga;Curados;289;
06/04/2020;Malaga;Nuevos casos;16;
06/04/2020;Sevilla;Confirmados;1713;
06/04/2020;Sevilla;Hospitalizados;811;
06/04/2020;Sevilla;Total UCI;104;
06/04/2020;Sevilla;Fallecimientos;112;
06/04/2020;Sevilla;Curados;105;
06/04/2020;Sevilla;Nuevos casos;50;
05/04/2020;Spain;Confirmados;135032;
05/04/2020;Spain;Hospitalizados;63954;
05/04/2020;Spain;Total UCI;7034;
05/04/2020;Spain;Fallecimientos;13055;
05/04/2020;Spain;Curados;40437;
05/04/2020;Spain;Nuevos casos;4273;
05/04/2020;Andalucia;Confirmados;8581;
05/04/2020;Andalucia;Hospitalizados;4227;
05/04/2020;Andalucia;Total UCI;489;
05/04/2020;Andalucia;Fallecimientos;491;
05/04/2020;Andalucia;Curados;798;
05/04/2020;Andalucia;Nuevos casos;280;
05/04/2020;Almeria;Confirmados;371;
05/04/2020;Almeria;Hospitalizados;153;
05/04/2020;Almeria;Total UCI;32;
05/04/2020;Almeria;Fallecimientos;23;
05/04/2020;Almeria;Curados;49;
05/04/2020;Almeria;Nuevos casos;25;
05/04/2020;Cadiz;Confirmados;862;
05/04/2020;Cadiz;Hospitalizados;367;
05/04/2020;Cadiz;Total UCI;56;
05/04/2020;Cadiz;Fallecimientos;31;
05/04/2020;Cadiz;Curados;104;
05/04/2020;Cadiz;Nuevos casos;16;
05/04/2020;Cordoba;Confirmados;1046;
05/04/2020;Cordoba;Hospitalizados;401;
05/04/2020;Cordoba;Total UCI;48;
05/04/2020;Cordoba;Fallecimientos;37;
05/04/2020;Cordoba;Curados;84;
05/04/2020;Cordoba;Nuevos casos;72;
05/04/2020;Granada;Confirmados;1501;
05/04/2020;Granada;Hospitalizados;808;
05/04/2020;Granada;Total UCI;85;
05/04/2020;Granada;Fallecimientos;114;
05/04/2020;Granada;Curados;129;
05/04/2020;Granada;Nuevos casos;24;
05/04/2020;Huelva;Confirmados;288;
05/04/2020;Huelva;Hospitalizados;143;
05/04/2020;Huelva;Total UCI;25;
05/04/2020;Huelva;Fallecimientos;16;
05/04/2020;Huelva;Curados;18;
05/04/2020;Huelva;Nuevos casos;9;
05/04/2020;Jaen;Confirmados;934;
05/04/2020;Jaen;Hospitalizados;490;
05/04/2020;Jaen;Total UCI;46;
05/04/2020;Jaen;Fallecimientos;52;
05/04/2020;Jaen;Curados;61;
05/04/2020;Jaen;Nuevos casos;20;
05/04/2020;Malaga;Confirmados;1916;
05/04/2020;Malaga;Hospitalizados;1087;
05/04/2020;Malaga;Total UCI;96;
05/04/2020;Malaga;Fallecimientos;121;
05/04/2020;Malaga;Curados;258;
05/04/2020;Malaga;Nuevos casos;53;
05/04/2020;Sevilla;Confirmados;1663;
05/04/2020;Sevilla;Hospitalizados;778;
05/04/2020;Sevilla;Total UCI;101;
05/04/2020;Sevilla;Fallecimientos;97;
05/04/2020;Sevilla;Curados;95;
05/04/2020;Sevilla;Nuevos casos;61;
04/04/2020;Spain;Confirmados;130759;
04/04/2020;Spain;Hospitalizados;62794;
04/04/2020;Spain;Total UCI;6958;
04/04/2020;Spain;Fallecimientos;12418;
04/04/2020;Spain;Curados;38080;
04/04/2020;Spain;Nuevos casos;6023;
04/04/2020;Andalucia;Confirmados;8301;
04/04/2020;Andalucia;Hospitalizados;4107;
04/04/2020;Andalucia;Total UCI;474;
04/04/2020;Andalucia;Fallecimientos;470;
04/04/2020;Andalucia;Curados;665;
04/04/2020;Andalucia;Nuevos casos;432;
04/04/2020;Almeria;Confirmados;346;
04/04/2020;Almeria;Hospitalizados;151;
04/04/2020;Almeria;Total UCI;30;
04/04/2020;Almeria;Fallecimientos;22;
04/04/2020;Almeria;Curados;39;
04/04/2020;Almeria;Nuevos casos;27;
04/04/2020;Cadiz;Confirmados;846;
04/04/2020;Cadiz;Hospitalizados;365;
04/04/2020;Cadiz;Total UCI;49;
04/04/2020;Cadiz;Fallecimientos;31;
04/04/2020;Cadiz;Curados;88;
04/04/2020;Cadiz;Nuevos casos;50;
04/04/2020;Cordoba;Confirmados;974;
04/04/2020;Cordoba;Hospitalizados;385;
04/04/2020;Cordoba;Total UCI;46;
04/04/2020;Cordoba;Fallecimientos;32;
04/04/2020;Cordoba;Curados;66;
04/04/2020;Cordoba;Nuevos casos;82;
04/04/2020;Granada;Confirmados;1477;
